internal_id,text,verse,probability
12255,money to pay the debts i met wi the board of z c mi in the,D&C 104:78,0.5326297025344531
12203,discused in one of his sermons about the apostles not having the gift of the holy,Alma 9:21,0.5126614103173674
12197,mints i followed for mits read from isaiah sang how beautiful upon the mountains amp c,Mosiah 15:15,0.4880781792922114
12203,published in the herald amp tribune presidents denial of the slanders in the times was published,Mosiah 15:14,0.46297687192367726
12167,tithing of the family i went to the office and to the wi the twelve we,D&C 119:3,0.4503070164524213
12208,the office being quite busy tues at the office busy most of the day in the,D&C 107:68,0.4482675564897868
12173,covenants you have entered into i will promise you that you will be true and faithful,D&C 108:5,0.4472381580240846
12203,her amp sent her i met wi the twelve in the i had an interview wi,D&C 84:101,0.43584043370246234
12163,before riturning home amp did not leave untill pm i attended a family birthday gathering at,D&C 19:36,0.4313188677355246
12236,through my system i was quite sick at night i was allso sick throug quite poorly,D&C 84:68,0.42936229702409473
12177,thronged the streets on the way from east to thsou then to state nor to sou,Hel. 1:31,0.42064793499594133
12173,god yourselves and your parents through all time and keep the commandments of god and the,D&C 136:21,0.4186842594839945
12167,thatcher amp others to ordain a high priest then set him apart for a bishop i,D&C 68:22,0.4140866143195494
12255,to pay the debts upon it a committee was appointed to see if they could borrow,D&C 104:78,0.4134230887841788
12244,a letter from gen figure i mailed letters to to day from father amp,D&C 44:1,0.4123798884181444
12216,office i received letters figure from one to father amp amp one to amp had one,Mosiah 18:21,0.41130031076042034
12146,elected as or of and out of of the council elected are members of the church,Alma 31:17,0.40440783779990636
12184,wi my wife pres amp wife elders amp also bro charles hardy chas m hardy engineer,1 Ne. 16:7,0.40146792376520707
12177,temple thence west to east temple nor round the to nor temple gate at a m,2 Ne. 5:16,0.40030224534703895
12244,at the house which was then taken to the and exhibited to the people for hours,3 Ne. 8:19,0.3995283033471402
12153,called up whare he had preached in a political discourse concerning brother it was represented that,Alma 43:2,0.3946816040348133
12236,through the day some better at nigh i went to the office amp spent the day,D&C 43:17,0.39445501482702017
12216,variety of feelings towards us some of the democrats are are attrying in the east to,D&C 76:100,0.3931481647028803
12173,are guided by these evil spirits die they go where they are and the evil spirits,D&C 50:2,0.3916192155409624
12153,weighed to day amp weighed lbs which is to much for heal i met at the,Alma 8:14,0.38916220762151366
12173,and there is where the devils do not dwell and therefore when you get there there,2 Ne. 9:25,0.38823036424575746
12153,brother thatcher had made a statement about brother merrill which was false amp brother thatcher now,Ether 9:8,0.38723518636743626
12148,sea through the park i received letters from and tues to day i wrote letters to,Alma 54:15,0.38596233599185376
12255,i met wi quite a number of men i met wi amp and quite a number,Alma 44:21,0.384722752350258
12208,gentlemen called on us today they are a delegation of the hawaian people on their way,Hel. 1:31,0.3815616163744065
12203,in bo herald amp tribune i met wi the twelve in the the drins of was,1 Ne. 12:9,0.3783860923171123
12173,and there are plenty of them in the midst of the latter day saints as to,D&C 115:4,0.37598529182328466
12146,my desk tues nd this is the election day tickets in the field i went to,D&C 88:51,0.3758643626893499
12236,president died this afternoon at oclok at figure born died at oclock aged years one mon,Jacob 1:12,0.37475850533724303
12160,have a very good night last night at oclock pres amp elder amp others accompanied me,Hel. 14:4,0.373171629925397
12226,workers in the temple amp others it included the presidency of the church the twelve apostles,1 Ne. 14:20,0.3730049042529415
12236,i was quite sick last night amp sick to day i took cold which settled all,D&C 84:68,0.37213150035061826
12226,seventies and the leading men of the blank wi many of the aged men amp women,Alma 30:18,0.3715704018525139
12203,the office answered the libelious document in the n y times against him amp the presidency,D&C 94:3,0.3691337187273893
12208,at home to day i spent the day at home wi the family mon drove to,D&C 19:36,0.36905200706066443
12173,covenant and promises have been made to you for time and eternity now if you honor,D&C 3:5,0.36862827842786833
12163,last for publication i received a card from from m mountford went home at pm thur,D&C 88:59,0.368115073599325
12184,wed i was at the office this morning did not sleep well after i got to,Mosiah 24:19,0.3673318150932477
12173,true and faithful here you will be true and faithful there throughout all eternity here is,D&C 71:11,0.36494085137873344
12153,slept but little during the night i have not slept well of late nights i was,Ether 15:20,0.3643595860280112
12145,monument purchase of land in amp c prest jos f smi spoke on the brigham young,D&C 124:127,0.36422664108095704
12163,the residence of bro this evening until pmoclock tues ap i went to the office had,D&C 58:24,0.3622221294608235
12173,us and have the power to tempt us and here is the place where they work,D&C 101:28,0.36198649590135146
12160,forward knocking her head against the wall and cut her forehead i amp bro administered to,D&C 84:101,0.36150795543791875
12167,the asylum i setled tithing to day for the family for as follows wilford woodruff total,D&C 136:13,0.3574837954084796
12184,had bro cash the check which i received from bro last we received a telegram from,D&C 76:74,0.35432663031131156
12226,i thank god my heavenly father figure wilford woodruff born aged years this day figure b,D&C 136:13,0.34933091442356795
12160,and went home at pm fri i had a good night went to the office my,Alma 51:33,0.3485084656454135
12160,the brethren accompanied the waterhouse bros to this afternoon i went to the office did not,D&C 107:68,0.34835365020905107
12203,a great relief to us the brigham young board met in the morning and done a,D&C 124:127,0.34194784815691187
12167,i had a visit from many brethren the first presidency of the stake called upon me,D&C 94:3,0.34016366317396823
12160,william mcewan wm mcewan shall be ried on the inst the wedding reception notes were sent,D&C 55:1,0.33963373263880686
12197,quayle cannon geo q cannon for mnts sang the spirit of god benediction by pres geo,D&C 138:24,0.33832777063908287
12173,will still have power over them while they will have no power over faithful saints who,D&C 70:17,0.3368791602873761
12167,ided that was wrong no man had a right to officiate in any office of the,D&C 107:9,0.3362405458412783
12189,judge m amp as a parting hour they enquired if the trustees in trust controlls the,Alma 7:6,0.3347567267710784
12146,rest mon at the office today rec eived a letter from madam from tues california mr,D&C 44:1,0.3340394210927754
12160,in meetings went home at pm wed i had a better night last night slept well,Ether 15:20,0.33303785331940694
12255,see if we could do any thing to save the selling at auction the at provo,3 Ne. 15:14,0.33214155872995504
12167,discussed several subjects among other things it had been the custom in by moses thatcher m,Alma 47:23,0.3311256126562959
12146,z s b amp t co at p m amp afterwards attended the funeral service of,Mosiah 2:16,0.33107092040525815
12163,ap at the office i receivd a card from for mrs busy at my desk attended,D&C 123:14,0.33042717954748985
12236,some enemies from have published in new times that the mormon church is bankrupt this is,Mosiah 15:14,0.32986557780552767
12197,by bro black sang we thank thee o god for a prophet the general amp stake,Alma 31:18,0.3291454569057724
12173,of us are surrounded by temptations because we are where devils dwell they are all around,D&C 76:68,0.3271752850996024
12255,i also met at oclock at my office amp dusenbury from amp amp others from to,D&C 124:73,0.32590017251871806
12173,but there is no man or woman who has been true and faithful here until dea,D&C 124:85,0.3257095246722554
12244,smoot had raised himself had it sawed out amp seasoned and it made one of the,3 Ne. 26:15,0.32414174985332456
12208,gentlemen went home at pm and went to the tonight fri i drove to the office,Alma 3:23,0.3226117923964946
12244,finest caskets i ever saw in my life all the family took leave of the body,D&C 101:37,0.3223253262977495
12165,he slept peacefully all night and passed away without movement to prest fri rd prest directed,Ether 15:20,0.32201568697525806
12165,some twenty five members of pres woodruff s family and several other prominent members of the,D&C 42:70,0.3215067338369987
12255,young womons journal illustrated american years amp rout from to illustrated the higher officials vol vol,Mosiah 29:29,0.32126408064369333
12236,busy day amp called upon me also col amp also figure i wrote a letter to,Omni 1:9,0.3202887708137296
12177,wilford woodruff died aged years the funeral ceremonies commenced at a m for full statement see,D&C 136:13,0.32021200290427293
12173,continually working for our distruction and they do all they can against us when those who,Alma 61:7,0.31807692534282234
12236,amp days i met wi the twelve in the and had prayer we also met wi,Alma 51:29,0.3176613057268952
12189,rd i met in the office wi my councillors brothers amp on some of our affairs,D&C 76:100,0.3176247663317978
12184,where we were made quite comfortable in the afternoon we all drove to the farm known,2 Ne. 30:16,0.317230487319675
12173,the number of them i do not know but there are plenty of them they are,Mosiah 2:2,0.3172205825080992
12173,throughout all eternity and i will tell you the reason why while here you and all,D&C 39:1,0.3155686679890123
12208,to pm i wrote to amp the letter was mailed col dickinson amp three other hawaian,Alma 54:15,0.31547431743143434
12177,were viewed by a great many of the family and friends and the authorities of the,3 Ne. 7:4,0.3148995206473869
12177,james woodruff jr amp the family followed and immediately after them the general authorities of the,D&C 102:32,0.3110246189180746
12177,clipping herewi ked the accompanying clippings are placed in this record to make the same as,1 Ne. 1:3,0.31097867141346963
12153,we granted the use of the for lecture of the charitable institution for the benefit of,D&C 59:18,0.31015211672342335
12255,forenoon i learned that the committee could not borrow any money for the things looked dark,2 Ne. 27:19,0.31012619022436233
12197,the car tues we left at am i did not sleep very well i had some,D&C 76:100,0.30999662109226417
12173,altar i addressed them as follows you are now husband and wife having entered into this,D&C 74:1,0.3075125961214905
12216,testimony i followed them amp spoke minutes followed by president i spent the day in the,Mosiah 23:30,0.3073263275853177
12173,where your trouble lies we have them to contend wi in this city and this territory,Alma 42:29,0.30659582940675045
12146,a few reks amp elder angus munn cannon angus m cannon offered the benediction i did,D&C 59:11,0.306321775377895
12184,this morning bro waited on me after breakfast we all went to the meeting house the,1 Ne. 3:23,0.3047806255676804
12216,two hours in the wi the presidency amp twelve prayed mou prest was quite poorly to,D&C 94:3,0.30385606516393937
