"internal_id","text","verse_short_title","probability","V1","date","book_title","scripture_text"
11953,"the semiannual conference of the church of jesus christ of latter day saints met at the","D&C 115:4",0.588846782,192,1895-04-01,"Doctrine and Covenants","For thus shall my church be called in the last days, even The Church of Jesus Christ of Latter-day Saints."
11973,"tabernacle on the semi annual conference of the church of jesus christ of latter day saints","D&C 115:4",0.575661632,172,1894-04-01,"Doctrine and Covenants","For thus shall my church be called in the last days, even The Church of Jesus Christ of Latter-day Saints."
11981,"afternoon the subject of sun light in our library instead of gass light was discussed i","D&C 88:7",0.534297974,164,1894-06-01,"Doctrine and Covenants","Which truth shineth. This is the light of Christ. As also he is in the sun, and the light of the sun, and the power thereof by which it was made."
11940,"mrs osgood house at no we took our baggage there i went to the utah house","D&C 109:16",0.523366283,205,1893-09-01,"Doctrine and Covenants","And that this house may be a house of prayer, a house of fasting, a house of faith, a house of glory and of God, even thy house;"
11944,"greatest changes taken place concerning the church of jesus christ of latter day saints during the","D&C 115:4",0.520083055,201,1893-12-01,"Doctrine and Covenants","For thus shall my church be called in the last days, even The Church of Jesus Christ of Latter-day Saints."
11961,"in your behalf and the prayers of the circles here upon the ear also the prayers","Morm. 8:25",0.520004569,184,1894-08-01,"Mormon","And behold, their prayers were also in behalf of him that the Lord should suffer to bring these things forth."
11944,"welcome and all our opponets in utah have laid down the weapons of war and ask","Alma 23:13",0.509460289,201,1893-12-01,"Alma","And these are the names of the cities of the Lamanites which were converted unto the Lord; and these are they that laid down the weapons of their rebellion, yea, all their weapons of war; and they were all Lamanites."
11984,"limbs i eat bread amp milk and drink cacao amp a little port wine i washed","3 Ne. 20:7",0.507282052,161,1897-04-01,"3 Nephi","But he truly gave unto them bread to eat, and also wine to drink."
11931,"my bowels amp was rather feverish some of the night i ate some pie plant amp","D&C 76:100",0.501995647,214,1897-04-01,"Doctrine and Covenants","These are they who say they are some of one and some of another--some of Christ and some of John, and some of Moses, and some of Elias, and some of Esaias, and some of Isaiah, and some of Enoch;"
11992,"amp and in the afternoon mr don c dickerson don c dickinson mr amp other influential","D&C 124:133",0.494099528,153,1898-01-01,"Doctrine and Covenants","And again, I give unto you Don C. Smith to be a president over a quorum of high priests;"
11931,"short naps before midnight i slept from midnight to some hours i had some pain in","D&C 76:100",0.492000729,214,1897-04-01,"Doctrine and Covenants","These are they who say they are some of one and some of another--some of Christ and some of John, and some of Moses, and some of Elias, and some of Esaias, and some of Isaiah, and some of Enoch;"
11998,"we are begining to get sumthing from the mine to assist thank god we have a","Alma 31:18",0.489906474,147,1895-04-01,"Alma","And again we thank thee, O God, that we are a chosen and a holy people. Amen."
11962,"i had seen in the wonderful glacier one of the finest sights of my life we","D&C 84:66",0.462701512,183,1895-07-01,"Doctrine and Covenants","In my name they shall do many wonderful works;"
11936,"i went to the in the afternoon spoke hour m ww spok m figures i received","D&C 29:10",0.458073583,209,1894-12-01,"Doctrine and Covenants","For the hour is nigh, and that which was spoken by mine apostles must be fulfilled; for as they spoke so shall it come to pass;"
11973,"amp ten of the twelve apostles all of the apostles present in amp at home we","1 Ne. 14:20",0.455983077,172,1894-04-01,"1 Nephi","And the angel said unto me: Behold one of the twelve apostles of the Lamb."
11994,"pay our debts figure i received a letter from i met wi amp gave him a","D&C 104:78",0.451822722,151,1895-01-01,"Doctrine and Covenants","And again, verily I say unto you, concerning your debts--behold it is my will that you shall pay all your debts."
11993,"quite unwell bro nuttall amp administered to her amp her waited on her nd i slept","D&C 84:101",0.451134339,152,1897-04-01,"Doctrine and Covenants","The earth hath travailed and brought forth her strength;And truth is established in her bowels;And the heavens have smiled upon her;And she is clothed with the glory of her God;For he stands in the midst of his people."
11983,"ch i signed teachers license i travelled in miles paid tithing in paid tithing paid tithing","D&C 119:3",0.450122116,162,1894-08-01,"Doctrine and Covenants","And this shall be the beginning of the tithing of my people."
11952,"of a heavenly being who appeared before her and blessed her and made her many precious","D&C 84:101",0.447761118,193,1897-08-01,"Doctrine and Covenants","The earth hath travailed and brought forth her strength;And truth is established in her bowels;And the heavens have smiled upon her;And she is clothed with the glory of her God;For he stands in the midst of his people."
11945,"brother private carr to deserett i called upon thomas walker jennings thomas jennings in the e","D&C 31:1",0.446573075,200,1894-03-01,"Doctrine and Covenants","Thomas, my son, blessed are you because of your faith in my work."
11996,"to live in it is nicely fitted up wi carpets furniture amp c bro amp mr","Alma 33:19",0.446231006,149,1897-06-01,"Alma","Behold, he was spoken of by Moses; yea, and behold a type was raised up in the wilderness, that whosoever would look upon it might live. And many did look and live."
11977,"council to have the brigham young monument erected at the intersection of sou temple amp east","D&C 124:127",0.444750244,168,1897-06-01,"Doctrine and Covenants","I give unto you my servant Brigham Young to be a president over the Twelve traveling council;"
11974,"last of the year and a synopsis of the work in will be found on the","Hel. 11:2",0.437869534,171,1894-12-01,"Helaman","And it was this secret band of robbers who did carry on this work of destruction and wickedness. And this war did last all that year; and in the seventy and third year it did also last."
11995,"figures the terrible forest foire of amp the most terrible destruction of life amp property ever","3 Ne. 8:11",0.437772666,150,1894-08-01,"3 Nephi","And there was a great and terrible destruction in the land southward."
11954,"me the kees of the temple amp told me to go and dedicate it which i","D&C 58:57",0.435531507,191,1895-04-01,"Doctrine and Covenants","And let my servant Sidney Rigdon consecrate and dedicate this land, and the spot for the temple, unto the Lord."
12004,"bro told him what the dr had said amp asked him if he could accompany me","Ether 3:26",0.435507078,141,1897-06-01,"Ether","For he had said unto him in times before, that if he would believe in him that he could show unto him all things--it should be shown unto him; therefore the Lord could not withhold anything from him, for he knew that the Lord could show him all things."
11950,"father amp mother i mailed a letter to him this morning one from father amp one","D&C 93:3",0.434870953,195,1894-06-01,"Doctrine and Covenants","And that I am in the Father, and the Father in me, and the Father and I are one--"
11950,"the in the afternoon from the temple we went to or to dedicate his house there","D&C 58:57",0.42970639,195,1894-06-01,"Doctrine and Covenants","And let my servant Sidney Rigdon consecrate and dedicate this land, and the spot for the temple, unto the Lord."
11945,"brought him in but i learned that neither mr u tt ll er nor nagarker believed","2 Ne. 27:19",0.42330942,200,1894-03-01,"2 Nephi","Wherefore it shall come to pass, that the Lord God will deliver again the book and the words thereof to him that is not learned; and the man that is not learned shall say: I am not learned."
