"internal_id","text","verse_short_title","probability","V1","date","book_title","scripture_text"
11847,"unto myself for i take whom i will take and preserve in life whom i will","D&C 63:3",0.66956648,298,1896-08-01,"Doctrine and Covenants","Who willeth to take even them whom he will take, and preserveth in life them whom he will preserve;"
11887,"brethren all of which were baptized into the church of jesus christ of latter day saints","D&C 115:4",0.6258095,258,1894-02-01,"Doctrine and Covenants","For thus shall my church be called in the last days, even The Church of Jesus Christ of Latter-day Saints."
11882,"the pioneer electric company of ogden the names of the board in are wilford woodruff amp","D&C 136:13",0.58950944,263,1893-11-01,"Doctrine and Covenants","And let my servants Orson Pratt and Wilford Woodruff organize a company."
11876,"any school in the church of jesus christ of latter day saints paid to day we","D&C 115:4",0.553805301,269,1894-02-01,"Doctrine and Covenants","For thus shall my church be called in the last days, even The Church of Jesus Christ of Latter-day Saints."
11860,"against you fear not for lo i am wi you until i come i come quickly","D&C 88:126",0.531038466,285,1895-05-01,"Doctrine and Covenants","Pray always, that ye may not faint, until I come. Behold, and lo, I will come quickly, and receive you unto myself. Amen."
11849,"made some aditions to it i went to the office i wrote some addition to the","D&C 76:100",0.525500562,296,1893-03-01,"Doctrine and Covenants","These are they who say they are some of one and some of another--some of Christ and some of John, and some of Moses, and some of Elias, and some of Esaias, and some of Isaiah, and some of Enoch;"
11868,"i went to the office to be prepaired to go to court if called court adjourned","D&C 94:5",0.513575988,277,1893-07-01,"Doctrine and Covenants","And there shall be a lower court and a higher court, according to the pattern which shall be given unto you hereafter."
11918,"to am some hours i ate some bread amp shrimps amp a cup of cacao for","D&C 76:100",0.509431638,227,1897-04-01,"Doctrine and Covenants","These are they who say they are some of one and some of another--some of Christ and some of John, and some of Moses, and some of Elias, and some of Esaias, and some of Isaiah, and some of Enoch;"
11908,"am some hours had a cup of coffee amp some bread amp milk i kept my","D&C 76:100",0.493640369,237,1897-04-01,"Doctrine and Covenants","These are they who say they are some of one and some of another--some of Christ and some of John, and some of Moses, and some of Elias, and some of Esaias, and some of Isaiah, and some of Enoch;"
11918,"called he is on his way as a missionary to the southern states i dictated to","D&C 87:3",0.489767364,227,1897-04-01,"Doctrine and Covenants","For behold, the Southern States shall be divided against the Northern States, and the Southern States will call on other nations, even the nation of Great Britain, as it is called, and they shall also call upon other nations, in order to defend themselves against other nations; and then war shall be poured out upon all nations."
11900,"are called upon to pay the body of our debts the houts woman is dead amp","D&C 104:78",0.484211981,245,1896-09-01,"Doctrine and Covenants","And again, verily I say unto you, concerning your debts--behold it is my will that you shall pay all your debts."
11865,"who gave me name of the woodruffe sir in the cent i learned that had my","2 Ne. 27:19",0.483741236,280,1894-01-01,"2 Nephi","Wherefore it shall come to pass, that the Lord God will deliver again the book and the words thereof to him that is not learned; and the man that is not learned shall say: I am not learned."
